date,type,sales,drawdate,jackpot
2014-04-30,bc49," 82,866 ",2014-04-30,"$2,000,000"
2014-04-30,extra," 61,979 ",2014-04-30,"$500,000"
2014-04-30,lotto649," 359,765 ",2014-04-30,"$ 5,000,000 "
2014-05-01,bc49," 34,078 ",2014-05-03,"$2,000,000"
2014-05-01,extra," 35,090 ",2014-05-03,"$500,000"
2014-05-01,lotto649," 170,046 ",2014-05-03,"$ 7,000,000 "
2014-05-02,bc49," 46,913 ",2014-05-03,"$2,000,000"
2014-05-02,extra," 51,684 ",2014-05-03,"$500,000"
2014-05-02,lotto649," 261,037 ",2014-05-03,"$ 7,000,000 "
2014-05-03,bc49," 90,715 ",2014-05-03,"$2,000,000"
2014-05-03,extra," 66,629 ",2014-05-03,"$500,000"
2014-05-03,lotto649," 403,059 ",2014-05-03,"$ 7,000,000 "
2014-05-04,bc49," 20,439 ",2014-05-07,"$2,000,000"
2014-05-04,extra," 22,452 ",2014-05-07,"$500,000"
2014-05-04,lotto649," 93,668 ",2014-05-07,"$ 5,000,000 "
2014-05-05,bc49," 31,926 ",2014-05-07,"$2,000,000"
2014-05-05,extra," 30,415 ",2014-05-07,"$500,000"
2014-05-05,lotto649," 147,917 ",2014-05-07,"$ 5,000,000 "
2014-05-06,bc49," 36,615 ",2014-05-07,"$2,000,000"
2014-05-06,extra," 33,500 ",2014-05-07,"$500,000"
2014-05-06,lotto649," 173,660 ",2014-05-07,"$ 5,000,000 "
2014-05-07,bc49," 81,012 ",2014-05-07,"$2,000,000"
2014-05-07,extra," 62,230 ",2014-05-07,"$500,000"
2014-05-07,lotto649," 353,825 ",2014-05-07,"$ 5,000,000 "
2014-05-08,bc49," 28,528 ",2014-05-10,"$2,000,000"
2014-05-08,extra," 32,715 ",2014-05-10,"$500,000"
2014-05-08,lotto649," 149,194 ",2014-05-10,"$ 7,000,000 "
2014-05-09,bc49," 45,646 ",2014-05-10,"$2,000,000"
2014-05-09,extra," 52,908 ",2014-05-10,"$500,000"
2014-05-09,lotto649," 257,819 ",2014-05-10,"$ 7,000,000 "
2014-05-10,bc49," 90,514 ",2014-05-10,"$2,000,000"
2014-05-10,extra," 64,368 ",2014-05-10,"$500,000"
2014-05-10,lotto649," 391,805 ",2014-05-10,"$ 7,000,000 "
2014-05-11,bc49," 21,794 ",2014-05-14,"$2,000,000"
2014-05-11,extra," 24,640 ",2014-05-14,"$500,000"
2014-05-11,lotto649," 113,641 ",2014-05-14,"$ 10,000,000 "
2014-05-12,bc49," 28,324 ",2014-05-14,"$2,000,000"
2014-05-12,extra," 28,910 ",2014-05-14,"$500,000"
2014-05-12,lotto649," 153,737 ",2014-05-14,"$ 10,000,000 "
2014-05-13,bc49," 38,617 ",2014-05-14,"$2,000,000"
2014-05-13,extra," 35,769 ",2014-05-14,"$500,000"
2014-05-13,lotto649," 209,348 ",2014-05-14,"$ 10,000,000 "
2014-05-14,bc49," 81,939 ",2014-05-14,"$2,000,000"
2014-05-14,extra," 64,227 ",2014-05-14,"$500,000"
2014-05-14,lotto649," 399,913 ",2014-05-14,"$ 10,000,000 "
2014-05-15,bc49," 30,123 ",2014-05-17,"$2,000,000"
2014-05-15,extra," 32,272 ",2014-05-17,"$500,000"
2014-05-15,lotto649," 147,389 ",2014-05-17,"$ 5,000,000 "
